Risposta numero,(AG) Definizione del concetto ASTRATTO e GENERICO,(AS) Definizione del concetto ASTRATTO e SPECIFICO,(CG) Definizione del concetto CONCRETO e GENERICO,(CS) Definizione del concetto CONCRETO e SPECIFICO,(CM) Definizione del concetto misterioso (complesso)
1,"art composed of melodious sounds produced by various instruments, it can have different genres and also contain a vocal part","Philosophical thought aimed at explaining ideal human behavior, attempting to demonstrate what is right and what is wrong. It often depends on the historical period and sociocultural context.","a plant with roots, trunk, branches and foliage used to obtain timber and produce paper","kitchen tool used to infuse tea leaves in boiling water, usually made of ceramic",A feeling of discomfort generated by embarrassing statements or behaviors. The term was coined on the Internet by the millennial community
2,A set of sounds made simultaneously by people and/or musical instruments.,Branch of philosophy that focuses on defining correct and incorrect human behavior.,"Plant, with different types and generic size, having leaves, branches, roots.",Metal container usually used for heating general liquids.,Abstract mental content and result of mental thinking activity.
3,"The group of every possibile musical notes combination, existing and not. Those combination can be both perceived with auditory system and visual system.",Common sentiment according with every human being should act to improve his and others quality of life,High and solid Kind of plant composed by a trunk covered in bark and a foliage Made by leaf. It has roots that keep it anchored to the ground,Small container for liquids used to pour hot beverages in mugs and cups. It is usually used to let decant and infuse leaves of tea.,Interactive product of the human intellect and creativity. Storydriven way of entertainment in which you take the control of the story with the use of an external device like a gamepad or a joystick.
4,Sound created by one or more musical instruments,philosophy or science that concern behaviors that are considered morally correct,"Living being that lives in the ground and is characterized by a trunk, branches, leaves and sometimes flowers or fruits",Tool used to make tea,Feeling of discomfort during which one would like to be different from how one is
5,"a mixture of sounds, that can be made of  instrumental and lyrics. An instrumental sound can be composed by standard  instruments such as guitars, drums, keyboards, piano or even by orchestral ones such as violoncello or violin; it  may or may not include some lyrics, that can be sung by a single person or multiple people or can even be represented as a speech.","philosophy’s branch that studies every behaviour. In particular, it distinguishes itself from politics and law, because it concentrates on action’s sphere and whether they’re good or bad and not already of the legally permitted or prohibited ones or of the more politically appropriate ones.","plant made by a tunk, branches and leaves",recipient which has a pot-bellied shape with a handle beak and lid and contains tea on the inside,Unknown
6,An organizations of sounds that can be made through specific instruments and/or human voices.,The philosophy that studies what are the right behaviours within human society,"A living organism that is rooted in the ground through roots, usually formed by a log, branches and leaves. These organisms gain their nutriment through photosynthesis. Some of these organism can give fruits.","A container that can be used to store liquid tea and is usually used to pour tea into teacups. ",Unknown
7,sequence of sounds with the aim of triggering emotions in the human being,branch of philosophy that aims to ask whether certain behaviors are right or wrong,woody plant with branches and leaves,"container, often made of ceramic, which is intended to contain tea during serving and infusion","engineering system that has the purpose of capturing, purifying, transporting and distributing water"
8,Sequence of sounds capable of arousing emotions in the listener,Moral principles learned by the society to which one belongs that define right and wrong,"Type of plant composed of roots, trunk, branches and leaves.","Container, normally made of ceramic, used to heat water and prepare tea. Also used for table setting.",Typical Japanese dish consisting mainly of rice and raw fish. Ability to add various toppings
9,Set of sounds and harmonies that are heard,Set of conventionally shared unwritten rules,"Organic component born from a seed, composed of roots, trunk, leaves and branches",Container useful for holding and pouring tee,Object used to improve vision through the use of graduated lenses
10,Sounds and noises produced through instruments following a rhythm to generate a composition.,A set of moral rules that a person follows.,"A plant consisting of a trunk and branches, of varying height, often producing fruit.",An instrument used to infuse herbs and spices to make tea.,"A black substance produced from organic remains, flammable, and extractable from the subsoil. It sustains humanity on an energy level."
